bet_type,data_status,payout_per_100_yen,payout_popularity,race_date,race_id,source_url,winning_selection
ワイド,QUARANTINED_HTML:track_condition,1060,11,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,7-10
ワイド,QUARANTINED_HTML:track_condition,1390,16,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,7-11
馬連,QUARANTINED_HTML:track_condition,220,1,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,10-11
馬単,QUARANTINED_HTML:track_condition,280,1,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,10-11
3連複,QUARANTINED_HTML:track_condition,1850,5,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,7-10-11
3連単,QUARANTINED_HTML:track_condition,3780,8,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,10-11-7
単勝,QUARANTINED_HTML:track_condition,520,3,2026-08-30,pw01sde1001202602040120260830,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040120260830%2F44,1
複勝,QUARANTINED_HTML:track_condition,180,3,2026-08-30,pw01sde1001202602040120260830,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040120260830%2F44,1
複勝,QUARANTINED_HTML:track_condition,280,5,2026-08-30,pw01sde1001202602040120260830,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040120260830%2F44,4
複勝,QUARANTINED_HTML:track_condition,160,2,2026-08-30,pw01sde1001202602040120260830,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040120260830%2F44,7
枠連,QUARANTINED_HTML:track_condition,2930,13,2026-08-30,pw01sde1001202602040120260830,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040120260830%2F44,1-3
